Age Group,Dance,Judge,Number,Placement
18 & U25,Highland Laddie,Kiki Bentzen,977,1
,Highland Laddie,Kiki Bentzen,967,2
,Highland Laddie,Kiki Bentzen,966,3
,Highland Laddie,Kiki Bentzen,972,4
,Highland Laddie,Kiki Bentzen,971,5
,Highland Laddie,Kiki Bentzen,974,6
,Highland Laddie,Allana Brown,977,1
,Highland Laddie,Allana Brown,967,2
,Highland Laddie,Allana Brown,974,3
,Highland Laddie,Allana Brown,971,4
,Highland Laddie,Allana Brown,972,5
,Highland Laddie,Allana Brown,966,6
,Highland Laddie,Jennifer Worthen,977,1
,Highland Laddie,Jennifer Worthen,966,2
,Highland Laddie,Jennifer Worthen,972,3
,Highland Laddie,Jennifer Worthen,967,4
,Highland Laddie,Jennifer Worthen,978,5
,Highland Laddie,Jennifer Worthen,974,6